timestep,sim_simulation_time,sim_dt_physics,sim_battery_age_factor,sim_battery_time_accel,sim_speed,sim_throttle,sim_front_rpm,sim_rear_rpm,sim_range,sim_battery_degradation,sim_battery_soh,sim_battery_temp,sim_battery_temp_std,sim_battery_soc,sim_battery_curr,sim_battery_cooling_temp,carla_steering,carla_roll,carla_pitch,carla_yaw,carla_env_temp,carla_traffic_light,P_pack_W,C_rate,P_loss_W,E_kWh_cum,distance_km_cum,Wh_per_km_mask,Wh_per_km_inst,Wh_per_km_rolling_mask,Wh_per_km_rolling,T_hot_proxy
88.59559750184417,86.0,0.0499999999999971,5,5.167764172677265,0.0,0.0,5e-323,5e-323,151.1437862396263,0.0046281714500201,0.99537182854998,25.285192188286945,5.99182245303757e-14,0.9980165338372788,-2.658672293498282,25.18891242941305,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1225.5557839967962,0.046643373570145294,0.06085095338582678,-0.09194381971468213,0.32563050784444497,0.0,0.0,1.0,-91.94381969991011,25.652858923485983
88.64559750258923,86.05,0.0500000000000113,5,5.167767066195784,0.0,0.0,5e-323,5e-323,151.11531146234773,0.0046281708278487,0.9953718291721512,25.285159469361812,5.99182245303757e-14,0.9980161716992804,-2.6596828241676542,25.189032821602723,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1226.0214827392228,0.0466611021783799,0.060897215038638805,-0.09196084779083129,0.32563050784444497,0.0,0.0,1.0,-91.96084777605927,25.65296591418358
88.69559750333428,86.1,0.0499999999999971,5,5.167769959714303,0.0,0.0,5e-323,5e-323,151.0868366075016,0.0046281702090479,0.995371829790952,25.28512680607332,5.99182245303757e-14,0.99801580942377,-2.660692606788863,25.18915314724302,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1226.4868365199416,0.046678817662962516,0.06094346000597291,-0.0919778823302274,0.32563050784444497,0.0,0.0,1.0,-91.97788231545537,25.6530728570293
88.74559750407934,86.15,0.0499999999999971,5,5.167772853232822,0.0,0.0,5e-323,5e-323,151.05836168922045,0.004628169593613,0.9953718304063868,25.285094198347224,5.99182245303757e-14,0.9980154470108497,-2.661701641430541,25.189273406043696,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1226.9518453706721,0.04669652002509721,0.06098968825196924,-0.09199492332807976,0.32563050784444497,0.0,0.0,1.0,-91.99492331330775,25.653179751958426
88.7955975048244,86.2,0.0499999999999971,5,5.167775746751341,0.0,0.0,5e-323,5e-323,151.02988672161948,0.0046281689815398,0.9953718310184602,25.285061646109117,5.99182245303757e-14,0.998015084460621,-2.662709928161774,25.18939359771753,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1227.4165093233462,0.04671420926599604,0.06103589974082235,-0.09201197077959815,0.32563050784444497,0.0,0.0,1.0,-92.01197076482613,25.65328659890612
88.84559750556946,86.25,0.0499999999999971,5,5.1677786402698604,0.0,0.0,5e-323,5e-323,151.00141171879636,0.0046281683728238,0.995371831627176,25.28502914928504,5.99182245303757e-14,0.998014721773186,-2.6637174670525208,25.18951372198046,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1227.8808284102952,0.04673188538688633,0.06108209443680054,-0.09202902467999273,0.32563050784444497,0.0,0.0,1.0,-92.02902466522072,25.65339339780813
88.89559750631452,86.3,0.0500000000000113,5,5.16778153378838,0.0,0.0,5e-323,5e-323,150.97293669483145,0.0046281677674605,0.9953718322325394,25.28499670780104,0.0,0.9980143589486464,-2.664724258174768,25.189633778551524,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1228.3448026647868,0.04674954838903102,0.06112827230429887,-0.09204608502447419,0.32563050784444497,0.0,0.0,1.0,-92.04608500970217,25.653500148600475
88.94559750705957,86.35,0.0499999999999971,5,5.1677844273068985,0.0,0.0,5e-323,5e-323,150.9444616637878,0.0046281671654456,0.9953718328345544,25.284964321583345,0.0,0.9980139959871042,-2.665730301595312,25.18975376715269,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1228.8084321176964,0.04676719827360197,0.06117443330750802,-0.09206315180825361,0.32563050784444497,0.0,0.0,1.0,-92.0631517934816,25.653606851218655
88.99559750780463,86.4,0.0499999999999971,5,5.1677873208254175,0.0,0.0,5e-323,5e-323,150.91598663971084,0.0046281665667746,0.9953718334332254,25.28493199055833,5.99182245303757e-14,0.998013632888661,-2.666735597390365,25.189873687509248,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1229.2717168042386,0.04678483504193622,0.0612205774110845,-0.09208022502654255,0.32563050784444497,0.0,0.0,1.0,-92.08022501177054,25.6537135055996
89.04559750854969,86.45,0.0499999999999971,5,5.1677902143439365,0.0,0.0,5e-323,5e-323,150.88751163662877,0.0046281659714431,0.9953718340285568,25.284899714652568,0.0,0.9980132696534189,-2.6677401456311687,25.18999353934919,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1229.7346567573393,0.04680245869528366,0.06126670457949069,-0.09209730467455306,0.32563050784444497,0.0,0.0,1.0,-92.09730465978105,25.65382011167977
89.09559750929475,86.5,0.0499999999999971,5,5.167793107862456,0.0,0.0,5e-323,5e-323,150.8590366685523,0.0046281653794468,0.9953718346205532,25.28486749379266,5.99182245303757e-14,0.998012906281479,-2.668743946390665,25.19011332240376,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1230.1972520107051,0.04682006923492395,0.06131281477730081,-0.09211439074749765,0.32563050784444497,0.0,0.0,1.0,-92.11439073272564,25.653926669395872
89.1455975100398,86.55,0.0500000000000113,5,5.167796001380975,0.0,0.0,5e-323,5e-323,150.8305617494749,0.0046281647907813,0.9953718352092188,25.28483532790557,0.0,0.9980125427729438,-2.669746999742879,25.190233036406998,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1230.6595025985443,0.046837666662155775,0.061358907969172816,-0.09213148324058931,0.32563050784444497,0.0,0.0,1.0,-92.13148322581729,25.654033178685133
89.19559751078486,86.6,0.0499999999999971,5,5.1677988948994935,0.0,0.0,5e-323,5e-323,150.80208689337238,0.0046281642054421,0.9953718357945578,25.284803216918192,0.0,0.9980121791279148,-2.670749305760579,25.19035268109576,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1231.121408554486,0.04685525097825577,0.061404984119740776,-0.09214858214904145,0.32563050784444497,0.0,0.0,1.0,-92.14858213426943,25.654139639484537
89.24559751152992,86.65,0.0499999999999971,5,5.1678017884180125,0.0,0.0,5e-323,5e-323,150.7736121142034,0.0046281636234251,0.9953718363765748,25.28477116075777,5.99182245303757e-14,0.9980118153464936,-2.6717508645236343,25.190472256210118,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1231.5829699154308,0.046872822184625164,0.06145104319399936,-0.09216568746806805,0.32563050784444497,0.0,0.0,1.0,-92.16568745329603,25.6542460517324
89.29559751227498,86.7,0.0499999999999971,5,5.167804681936532,0.0,0.0,5e-323,5e-323,150.74513742590915,0.0046281630447257,0.9953718369552742,25.28473915935149,0.0,0.998011451428782,-2.672751676103038,25.19059176149261,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1232.0441867141894,0.046890380282509435,0.061497085156569,-0.09218279919288352,0.32563050784444497,0.0,0.0,1.0,-92.18279917811151,25.654352415365747
89.34559751302004,86.75,0.0499999999999971,5,5.1678075754550505,0.0,0.0,5e-323,5e-323,150.71666284241334,0.0046281624693397,0.9953718375306604,25.28470721262687,5.99182245303757e-14,0.9980110873748822,-2.6737517405770124,25.190711196688937,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1232.5050589869056,0.04690792527328092,0.06154310997243675,-0.09219991731870279,0.32563050784444497,0.0,0.0,1.0,-92.19991730393077,25.654458730322943
89.3955975137651,86.8,0.0500000000000113,5,5.1678104689735695,0.0,0.0,5e-323,5e-323,150.68818837762234,0.0046281618972627,0.9953718381027372,25.28467532051144,0.0,0.9980107231848953,-2.674751058022378,25.1908305615475,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1232.9655867690756,0.04692545715828734,0.06158911760655923,-0.09221704184074127,0.32563050784444497,0.0,0.0,1.0,-92.21704182596925,25.654564996542163
89.44559751451015,86.85,0.0499999999999971,5,5.167813362492089,0.0,0.0,5e-323,5e-323,150.6597140454252,0.0046281613284905,0.9953718386715096,25.284643482933063,0.0,0.9980103588589232,-2.6757496285169378,25.190949855819326,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1233.4257700966482,0.04694297593889365,0.06163510802397247,-0.09223417275421483,0.32563050784444497,0.0,0.0,1.0,-92.23417273944281,25.654671213962057
89.49559751525521,86.9,0.0499999999999971,5,5.167816256010608,0.0,0.0,5e-323,5e-323,150.6312398596935,0.0046281607630186,0.9953718392369814,25.284611699819493,0.0,0.9980099943970676,-2.676747452139025,25.19106907925845,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1233.8856090058196,0.04696048161647413,0.06168108118977111,-0.09225131005433991,0.32563050784444497,0.0,0.0,1.0,-92.2513100395679,25.65477738252124
89.54559751600027,86.95,0.0499999999999971,5,5.167819149529127,0.0,0.0,5e-323,5e-323,150.60276583428143,0.0046281602008428,0.9953718397991572,25.28457997109888,5.99182245303757e-14,0.9980096297994304,-2.677744528967576,25.19118823162154,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1234.3451035330604,0.04697797419241362,0.06172703706911173,-0.09226845373633343,0.32563050784444497,0.0,0.0,1.0,-92.26845372156141,25.654883502158796
89.59559751674533,87.0,0.0499999999999971,5,5.167822043047646,0.0,0.0,5e-323,5e-323,150.5742919830258,0.0046281596419588,0.9953718403580412,25.28454829669937,5.99182245303757e-14,0.9980092650661132,-2.678740859082178,25.19130731266785,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1234.8042537151446,0.04699545366810839,0.0617729756272152,-0.0922856037954128,0.32563050784444497,0.0,0.0,1.0,-92.28560378064078,25.654989572813914
89.64559751749039,87.05,0.0500000000000113,5,5.167824936566165,0.0,0.0,5e-323,5e-323,150.545818319746,0.0046281590863622,0.9953718409136376,25.284516676549288,0.0,0.9980089001972172,-2.6797364425633337,25.191426322159487,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1235.2630595892658,0.04701292004497076,0.061818896829378814,-0.092302760226796,0.32563050784444497,0.0,0.0,1.0,-92.30276021202398,25.65509559442607
89.69559751823545,87.1,0.0499999999999971,5,5.167827830084684,0.0,0.0,5e-323,5e-323,150.51734485824414,0.0046281585340489,0.995371841465951,25.284485110577123,0.0,0.9980085351928448,-2.680731279493139,25.191545259861076,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1235.7215211933535,0.04703037332444104,0.06186480064100777,-0.09231992302570147,0.32563050784444497,0.0,0.0,1.0,-92.31992301092944,25.65520156693513
89.7455975189805,87.15,0.0499999999999971,5,5.167830723603203,0.0,0.0,5e-323,5e-323,150.48887161230476,0.0046281579850146,0.9953718420149854,25.284453598711536,0.0,0.9980081700530972,-2.6817253699487806,25.19166412554,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1236.1796385630748,0.04704781350787334,0.06191068702731499,-0.09233709218734817,0.32563050784444497,0.0,0.0,1.0,-92.33709217257616,25.65530749028046
89.79559751972556,87.2,0.0499999999999971,5,5.167833617121722,0.0,0.0,5e-323,5e-323,150.46039859569515,0.0046281574392549,0.9953718425607452,25.284422140881247,5.99182245303757e-14,0.9980078047780762,-2.68271871401838,25.191782918966112,-0.0015858203405514,-6.103515625e-05,-9.56226431299001e-05,0.0995222255587577,39.93022659939902,1,-1236.6374117391358,0.04706524059681368,0.061956555954052465,-0.09235426770695566,0.32563050784444497,0.0,0.0,1.0,-92.35426769218365,25.65541336440299
